Date		| Time		 | Description												   | Vendor				   |   Amount
2025-10-10  | 16:47:12   | Sold: "Deadpool oven mitt (highly impractical)"             | Online Sale           |     17.00
2025-10-01  | 10:13:46   | Rent Paid                                                   | Landlord              |  -1500.00
2025-09-11  | 15:33:54   | Bought: "Naruto ramen bowls (believe it!)"                  | Naruto Merch          |   -130.00
2025-09-10  | 19:44:56   | Debt Repayment                                              | Debt Collector        |   -150.00
2025-09-10  | 14:28:20   | Sold: "Funko Pop: Glow-in-the-dark All Might"               | Local Sale            |     29.00
2025-09-01  | 10:13:46   | Rent Paid                                                   | Landlord              |  -1500.00
2025-08-29  | 10:22:18   | Sold: "Dr. Strange Magic Hands Gloves"                      | Local Sale            |     24.00
2025-08-27  | 09:14:52   | Refund: "Blink-182 shirt too happy for customer"            | Critical Hit Karen    |    -20.00
2025-08-08  | 13:15:59   | Sold: "Rick & Morty Pickle Rick Body Pillow"                | Local Sale            |     65.00
2025-08-05  | 12:45:03   | Sold: "Dragon Ball Z – Senzu Bean Replica Jar"              | Local Sale            |     18.00
2025-08-02  | 11:57:41   | Paid: "Green Day Live Bootleg Vinyl (bootleg tax)"          | Green Day Merch       |    -47.00
2025-08-01  | 10:13:46   | Rent Paid                                                   | Landlord              |  -1500.00
2025-07-24  | 18:05:30   | Sold: "Marvel socks: mismatched on purpose"                 | Online Sale           |     12.00
2025-07-22  | 17:47:10   | Sold: "Death Note notebook (definitely blank... probably)"  | Online Sale           |     16.00
2025-07-19  | 16:22:33   | Bought: "Invader Zim Hot Topic leftovers"                   | Invader Zim Merch     |   -215.00
2025-07-17  | 15:18:25   | Sold: "My Hero Academia: Midoriya Sweatband"                | Local Sale            |      9.00
2025-07-15  | 14:40:48   | Sold: "One Punch Man Cape (includes bald cap)"              | Online Sale           |     32.00
2025-07-01  | 10:13:46   | Rent Paid                                                   | Landlord              |  -1500.00
2025-06-12  | 13:57:44   | Inventory Loss: "Customer yeeted Funko Pop box"             | Store loss            |    -15.00
2025-06-10  | 13:01:36   | Sold: "Blink-182 Enema Air Freshener"                       | Online Sale           |      6.00
2025-06-08  | 12:16:21   | Sold: "Dragon Ball Z: Frieza’s Final Form Towel"            | Local Sale            |     14.00
2025-06-05  | 11:22:43   | Bought: "Marvel enamel pins (500 count)"                    | Avengers Merch HQ     |   -300.00
2025-06-01  | 10:13:46   | Rent Paid                                                   | Landlord              |  -1500.00
2025-05-29  | 18:21:07   | Paid: "Custom store banner: ‘Where Weird Wins’"             | Store Purchase        |   -150.00
2025-05-27  | 17:18:34   | Sold: "Deadpool talking chimichanga plush"                  | Local Sale            |     20.00
2025-05-03  | 10:44:18   | Sold: "Invader Zim Plush (screams randomly)"                | Local Sale            |     22.00
2025-05-01  | 12:30:01   | Rent Paid                                                   | Landlord              |  -1500.00
2025-05-01  | 09:37:50   | Sold: "Rick & Morty ‘Wubba Lubba Dub Dub’ Socks"            | Online Sale           |     11.00
2025-04-25  | 16:04:11   | Bought: "Naruto headbands (believe it!)"                    | Naruto Merch          |   -140.00
2025-04-23  | 15:40:44   | Sold: "Funko Pop: Saitama (One Punch Man)"                  | Online Sale           |     25.00
2025-04-20  | 14:29:03   | Sold: "Rick & Morty Portal Gun replica"                     | Online Sale           |     60.00
